all: b'\x00\x00\x00'
...BCS says: c1e98f
....BCS says: 5200005ffffffe
....BCS says: 5200015ffffffe
..........Volts: 300.2	Amps: 400.0	Watts: 120080
..........Volts: 301.7	Amps: 0.0	Watts: 0
..........Volts: 301.7	Amps: 0.0	Watts: 0
..........Volts: 301.3	Amps: 0.9	Watts: 271
..........Volts: 301.7	Amps: 0.9	Watts: 271
..........Volts: 301.7	Amps: 0.8	Watts: 241
..........Volts: 301.7	Amps: 0.7	Watts: 211
..........Volts: 301.7	Amps: 0.7	Watts: 211
..........Volts: 302.5	Amps: -3.1	Watts: -937
.........Volts: 303.7	Amps: -9.5	Watts: -2885
..........Volts: 304.5	Amps: -12.8	Watts: -3897
..........Volts: 304.8	Amps: -13.7	Watts: -4175
..........Volts: 304.7	Amps: -14.2	Watts: -4326
..........Volts: 304.6	Amps: -14.7	Watts: -4477
..........Volts: 305.0	Amps: -15.2	Watts: -4636
..........Volts: 304.6	Amps: -15.9	Watts: -4843
..........Volts: 305.3	Amps: -16.3	Watts: -4976
..........Volts: 305.7	Amps: -16.6	Watts: -5074
..........Volts: 305.0	Amps: -16.9	Watts: -5154
..........Volts: 305.2	Amps: -17.0	Watts: -5188
..........Volts: 305.9	Amps: -17.2	Watts: -5261
..........Volts: 305.9	Amps: -17.4	Watts: -5322
..........Volts: 306.1	Amps: -17.5	Watts: -5356
..........Volts: 305.8	Amps: -17.5	Watts: -5351
.........Volts: 305.8	Amps: -17.5	Watts: -5351
..........Volts: 305.7	Amps: -17.5	Watts: -5349
..........Volts: 305.9	Amps: -17.5	Watts: -5353
..........Volts: 306.0	Amps: -17.5	Watts: -5355
..........Volts: 305.9	Amps: -17.5	Watts: -5353
.........Volts: 305.8	Amps: -17.5	Watts: -5351
..........Volts: 306.1	Amps: -17.5	Watts: -5356
..........Volts: 306.2	Amps: -17.5	Watts: -5358
..........Volts: 305.5	Amps: -17.5	Watts: -5346
..........Volts: 306.1	Amps: -17.5	Watts: -5356
..........Volts: 305.9	Amps: -17.5	Watts: -5353
..........Volts: 306.3	Amps: -17.5	Watts: -5360
..........Volts: 305.8	Amps: -17.5	Watts: -5351
..........Volts: 306.4	Amps: -17.5	Watts: -5362
..........Volts: 306.4	Amps: -17.5	Watts: -5362
..........Volts: 306.3	Amps: -17.5	Watts: -5360
..........Volts: 306.2	Amps: -17.5	Watts: -5358
..........Volts: 306.4	Amps: -17.5	Watts: -5362
.........Volts: 306.5	Amps: -17.5	Watts: -5363
..........Volts: 306.5	Amps: -17.5	Watts: -5363
..........Volts: 306.2	Amps: -17.5	Watts: -5358
..........Volts: 306.3	Amps: -17.5	Watts: -5360
..........Volts: 306.5	Amps: -17.5	Watts: -5363
..........Volts: 307.0	Amps: -17.5	Watts: -5372
..........Volts: 306.5	Amps: -17.5	Watts: -5363
..........Volts: 306.5	Amps: -17.5	Watts: -5363
..........Volts: 306.6	Amps: -17.5	Watts: -5365
.........Volts: 306.4	Amps: -17.5	Watts: -5362
.........Volts: 306.7	Amps: -17.5	Watts: -5367
..........Volts: 306.7	Amps: -17.5	Watts: -5367
..........Volts: 306.5	Amps: -17.5	Watts: -5363
..........Volts: 306.9	Amps: -17.5	Watts: -5370
..........Volts: 306.3	Amps: -17.5	Watts: -5360
.........Volts: 306.4	Amps: -17.5	Watts: -5362
..........Volts: 306.8	Amps: -17.5	Watts: -5369
..........Volts: 306.7	Amps: -17.5	Watts: -5367
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 306.2	Amps: -17.5	Watts: -5358
..........Volts: 306.7	Amps: -17.5	Watts: -5367
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 307.0	Amps: -17.5	Watts: -5372
..........Volts: 306.9	Amps: -17.5	Watts: -5370
..........Volts: 307.4	Amps: -17.5	Watts: -5379
..........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 306.9	Amps: -17.5	Watts: -5370
..........Volts: 307.2	Amps: -17.5	Watts: -5376
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 307.2	Amps: -17.5	Watts: -5376
..........Volts: 307.7	Amps: -17.5	Watts: -5384
.........Volts: 307.2	Amps: -17.5	Watts: -5376
..........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 307.2	Amps: -17.5	Watts: -5376
..........Volts: 306.9	Amps: -17.5	Watts: -5370
..........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 307.7	Amps: -17.5	Watts: -5384
..........Volts: 307.2	Amps: -17.5	Watts: -5376
..........Volts: 307.4	Amps: -17.5	Watts: -5379
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 307.1	Amps: -17.5	Watts: -5374
..........Volts: 307.4	Amps: -17.5	Watts: -5379
..........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 307.8	Amps: -17.5	Watts: -5386
..........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 307.7	Amps: -17.5	Watts: -5384
..........Volts: 307.8	Amps: -17.5	Watts: -5386
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 307.6	Amps: -17.5	Watts: -5383
..........Volts: 308.0	Amps: -17.5	Watts: -5390
.........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 307.5	Amps: -17.5	Watts: -5381
..........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 307.8	Amps: -17.5	Watts: -5386
.........Volts: 307.2	Amps: -17.5	Watts: -5376
..........Volts: 308.2	Amps: -17.5	Watts: -5393
..........Volts: 307.6	Amps: -17.5	Watts: -5383
..........Volts: 307.8	Amps: -17.5	Watts: -5386
..........Volts: 307.7	Amps: -17.5	Watts: -5384
.........Volts: 307.6	Amps: -17.5	Watts: -5383
..........Volts: 307.3	Amps: -17.5	Watts: -5377
..........Volts: 307.8	Amps: -17.5	Watts: -5386
..........Volts: 307.4	Amps: -17.5	Watts: -5379
..........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 307.8	Amps: -17.5	Watts: -5386
..........Volts: 308.1	Amps: -17.5	Watts: -5391
..........Volts: 307.8	Amps: -17.5	Watts: -5386
.........Volts: 308.0	Amps: -17.5	Watts: -5390
...........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 308.3	Amps: -17.5	Watts: -5395
.........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 308.4	Amps: -17.5	Watts: -5397
...........Volts: 308.1	Amps: -17.5	Watts: -5391
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.4	Amps: -17.5	Watts: -5397
..........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 308.2	Amps: -17.5	Watts: -5393
.........Volts: 308.6	Amps: -17.5	Watts: -5400
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.3	Amps: -17.5	Watts: -5395
